codigo_base,tipo_avaliacao,tema_formatado,pergunta_formatada
Fisioterapia_EvolucaoAdulto_DeficitForca,Fisioterapia,Evolução fisioterapêutica adulto,Possui deficit de força e funcionalidade?
Fisioterapia_EvolucaoAdulto_ProjetoTerapeutico,Fisioterapia,Evolução fisioterapêutica adulto,Existe projeto terapêutico funcional e respiratório?
Fisioterapia_EvolucaoAdulto_conduta_terapeutica,Fisioterapia,Evolução fisioterapêutica adulto,Há condutas fisioterapêuticas?
Fisioterapia_EvolucaoAdulto_MudancaConduta,Fisioterapia,Evolução fisioterapêutica adulto,Em caso de mudanças de condução respiratória (VNI / IOT / ExTOT / TQT / MNBZ) existe datas correspondentes? E incluiu no cabeçalho da evolução?
Fisioterapia_EvolucaoPed_DocMV,Fisioterapia,Evolução fisioterapêutica pediátrica,Há evolução fisioterapêutica no sistema?
Fisioterapia_EvolucaoPed_Conduta,Fisioterapia,Evolução fisioterapêutica pediátrica,Há conduta?
Fisioterapia_EvolucaoPed_PlanoTerapeutico,Fisioterapia,Evolução fisioterapêutica pediátrica,Existe plano terapêutico?
Fisioterapia_Testes_Manovacuometria,Fisioterapia,Testes,Possui teste de Manovacuometria?
Fisioterapia_Testes_Dinamometria,Fisioterapia,Testes,Possui teste de Dinamometria?
Fisioterapia_Testes_DiarioCaminhada,Fisioterapia,Testes,Possui diário de caminhada?
Fisioterapia_Testes_DistanciaPercorrida,Fisioterapia,Testes,Possui preenchimento de distância percorrida?
Fisioterapia_Final_UsoInadequadoSiglas,Fisioterapia,Siglas,"Identificada alguma sigla em prontuário que não consta no siglário padronizado na instituição? Se sim, registrar no campo de observação qual a sigla não padronizada e em qual documento se encontra."
Nutrição_triagem_UTI,Nutrição,Avaliação na admissão,Paciente com triagem realizada nas primeiras 24h após a internação em unidade/UTI?
Nutrição_avaliacao_completa,Nutrição,Avaliação na admissão,Avaliação completa presente quando paciente com risco e/ou em uso de terapia nutricional?
Nutrição_pl_terapeutico_nutri,Nutrição,Planejamento assistencial,Plano terapêutico presente?
Nutrição_evolucao_revisita,Nutrição,Planejamento assistencial,"Evolução de revisita conforme protocolo institucional? (Paciente com risco nutricional e/ou terapia nutricional visita diária, sem risco nutricional em UTI a cada 48h, sem risco nutricional em unidade de internação a cada 72h)"
Nutrição_orientacao_alta,Nutrição,Planejamento assistencial,Orientação de alta nutricional registrada em prontuário?
Nutrição_UsoInadequadoSiglas,Nutrição,Siglas,"Identificada alguma sigla em prontuário que não consta no siglário padronizado na instituição? Se sim, registrar no campo de observação qual a sigla não padronizada e em qual documento se encontra."
Psicologia_DocumentoAberto,Psicologia,Avaliação ao Risco de Suicídio,"Documento aberto no pronto socorro, com preenchimento integral do formulário e identificação dos fatores de risco pelo enfermeiro?"
Psicologia_AcionamentoPsicologia,Psicologia,Avaliação ao Risco de Suicídio,"Se necessário o acionamento da psicologia para realização da Etapa 2 (Avaliação e Classificação do Risco de Suicídio), esta etapa foi sinalizada no protocolo?"
Psicologia_AplicacaoBarreiras,Psicologia,Avaliação ao Risco de Suicídio,"Se risco evidenciado, a aplicação das barreiras de prevenção foram sinalizadas no formulário?"
Psicologia_FormularioPreenchido,Psicologia,Avaliação ao Risco de Suicídio,"Na transferência do paciente ao setor de destino, o formulário foi preenchido integralmente?"
Psicologia_ParecerPsiquiatria,Psicologia,Avaliação ao Risco de Suicídio,"Se necessário avaliação da psiquiatria, houve realização de parecer? Consta registro do atendimento em prontuário?"
Psicologia_EvolucaoRegistrada,Psicologia,Avaliação da Psicologia,A evolução está registrada com informações atualizadas sobre o quadro  psicológico do paciente?
Psicologia_IntervencoesCondutas,Psicologia,Avaliação da Psicologia,As intervenções e condutas adotadas pela psicologia estão registradas em prontuário?
Psicologia_PlanoComMetas,Psicologia,Avaliação da Psicologia,"O plano terapêutico está descrito, com metas e acompanhamento definidos?"
Psicologia_UsoInadequadoSiglas,Psicologia,Siglas,"Identificada alguma sigla em prontuário que não consta no siglário padronizado na instituição? Se sim, registrar no campo de observação qual a sigla não padronizada e em qual documento se encontra."
